observation_date,M2SL
1984-01-01,2138.2
1984-02-01,2158.2
1984-03-01,2175.2
1984-04-01,2191.7
1984-05-01,2204.1
1984-06-01,2215.1
1984-07-01,2223.5
1984-08-01,2230.4
1984-09-01,2244.4
1984-10-01,2258.9
1984-11-01,2281.4
1984-12-01,2306.4
1985-01-01,2332.4
1985-02-01,2354.1
1985-03-01,2366.2
1985-04-01,2375.4
1985-05-01,2389.5
1985-06-01,2412.6
1985-07-01,2429.5
1985-08-01,2444.0
1985-09-01,2456.4
1985-10-01,2468.0
1985-11-01,2477.8
1985-12-01,2492.1
1986-01-01,2502.1
1986-02-01,2512.9
1986-03-01,2533.1
1986-04-01,2557.8
1986-05-01,2584.8
1986-06-01,2605.0
1986-07-01,2626.6
1986-08-01,2646.5
1986-09-01,2667.8
1986-10-01,2687.4
1986-11-01,2701.3
1986-12-01,2728.0
1987-01-01,2743.9
1987-02-01,2747.5
1987-03-01,2753.7
1987-04-01,2767.7
1987-05-01,2772.9
1987-06-01,2774.6
1987-07-01,2779.0
1987-08-01,2788.2
1987-09-01,2799.5
1987-10-01,2814.8
1987-11-01,2818.9
1987-12-01,2826.4
1988-01-01,2847.4
1988-02-01,2870.4
1988-03-01,2890.7
1988-04-01,2910.7
1988-05-01,2926.0
1988-06-01,2938.4
1988-07-01,2947.2
1988-08-01,2952.0
1988-09-01,2956.9
1988-10-01,2965.3
1988-11-01,2980.2
1988-12-01,2988.2
1989-01-01,2991.7
1989-02-01,2992.2
1989-03-01,2999.7
1989-04-01,3006.0
1989-05-01,3011.6
1989-06-01,3027.9
1989-07-01,3052.4
1989-08-01,3074.4
1989-09-01,3092.5
1989-10-01,3114.1
1989-11-01,3133.3
1989-12-01,3152.5
1990-01-01,3166.8
1990-02-01,3179.2
1990-03-01,3190.1
1990-04-01,3201.6
1990-05-01,3200.6
1990-06-01,3213.7
1990-07-01,3224.5
1990-08-01,3242.0
1990-09-01,3254.6
1990-10-01,3259.3
1990-11-01,3262.6
1990-12-01,3271.8
1991-01-01,3287.7
1991-02-01,3304.5
1991-03-01,3321.9
1991-04-01,3332.4
1991-05-01,3343.0
1991-06-01,3351.9
1991-07-01,3356.1
1991-08-01,3355.0
1991-09-01,3354.9
1991-10-01,3360.1
1991-11-01,3365.5
1991-12-01,3372.2
1992-01-01,3381.2
1992-02-01,3400.0
1992-03-01,3403.9
1992-04-01,3399.7
1992-05-01,3398.6
1992-06-01,3393.4
1992-07-01,3393.9
1992-08-01,3398.8
1992-09-01,3410.3
1992-10-01,3423.8
1992-11-01,3426.5
1992-12-01,3424.7
1993-01-01,3419.1
1993-02-01,3414.5
1993-03-01,3411.7
1993-04-01,3411.3
1993-05-01,3436.9
1993-06-01,3442.4
1993-07-01,3442.0
1993-08-01,3445.7
1993-09-01,3452.2
1993-10-01,3456.7
1993-11-01,3470.1
1993-12-01,3474.5
1994-01-01,3474.9
1994-02-01,3475.7
1994-03-01,3480.1
