observation_date,PCEPILFE
1984-01-01,47.121
1984-02-01,47.418
1984-03-01,47.598
1984-04-01,47.822
1984-05-01,47.933
1984-06-01,48.046
1984-07-01,48.253
1984-08-01,48.412
1984-09-01,48.486
1984-10-01,48.595
1984-11-01,48.698
1984-12-01,48.891
1985-01-01,49.165
1985-02-01,49.420
1985-03-01,49.593
1985-04-01,49.652
1985-05-01,49.823
1985-06-01,49.988
1985-07-01,50.134
1985-08-01,50.380
1985-09-01,50.484
1985-10-01,50.565
1985-11-01,50.689
1985-12-01,50.827
1986-01-01,51.101
1986-02-01,51.233
1986-03-01,51.389
1986-04-01,51.482
1986-05-01,51.570
1986-06-01,51.725
1986-07-01,51.819
1986-08-01,51.925
1986-09-01,52.096
1986-10-01,52.273
1986-11-01,52.384
1986-12-01,52.452
1987-01-01,52.578
1987-02-01,52.685
1987-03-01,52.841
1987-04-01,53.065
1987-05-01,53.214
1987-06-01,53.360
1987-07-01,53.498
1987-08-01,53.679
1987-09-01,53.892
1987-10-01,54.122
1987-11-01,54.235
1987-12-01,54.349
1988-01-01,54.606
1988-02-01,54.718
1988-03-01,54.952
1988-04-01,55.219
1988-05-01,55.407
1988-06-01,55.641
1988-07-01,55.868
1988-08-01,56.007
1988-09-01,56.307
1988-10-01,56.521
1988-11-01,56.676
1988-12-01,56.864
1989-01-01,57.152
1989-02-01,57.297
1989-03-01,57.468
1989-04-01,57.661
1989-05-01,57.833
1989-06-01,57.987
1989-07-01,58.136
1989-08-01,58.217
1989-09-01,58.419
1989-10-01,58.631
1989-11-01,58.787
1989-12-01,58.954
1990-01-01,59.181
1990-02-01,59.468
1990-03-01,59.754
1990-04-01,59.932
1990-05-01,60.115
1990-06-01,60.349
1990-07-01,60.501
1990-08-01,60.753
1990-09-01,60.965
1990-10-01,61.172
1990-11-01,61.246
1990-12-01,61.331
1991-01-01,61.637
1991-02-01,61.807
1991-03-01,61.936
1991-04-01,62.060
1991-05-01,62.307
1991-06-01,62.442
1991-07-01,62.632
1991-08-01,62.804
1991-09-01,63.055
1991-10-01,63.194
1991-11-01,63.312
1991-12-01,63.468
1992-01-01,63.641
1992-02-01,63.814
1992-03-01,63.973
1992-04-01,64.183
1992-05-01,64.273
1992-06-01,64.323
1992-07-01,64.566
1992-08-01,64.625
1992-09-01,64.730
1992-10-01,64.979
1992-11-01,65.121
1992-12-01,65.242
1993-01-01,65.432
1993-02-01,65.557
1993-03-01,65.700
1993-04-01,65.891
1993-05-01,66.114
1993-06-01,66.177
1993-07-01,66.314
1993-08-01,66.438
1993-09-01,66.538
1993-10-01,66.647
